0
 Fumiko Orikasa
 Wayne Federman
 Roushan Karam Elmi
 Costas Mandylor
 Marie Matiko
 Jim Carrey
 Robert Ri'chard
 Kasi Lemmons
 Christian Durango
 Felicity Kendal
 Chi McBride
 Elizabeth Olsen
 Damian de Montemas
 Georges GuÕ©tary
 Daniel Magon
 Alberto Sordi
 Lillian Miles
 Vera-Ellen
 Frances McDormand
 Jonno Davies
 Jerry Doyle
 John McMartin
 Herbert Lom
Thomas Middleditch
Todd Caldecott
 Nick Bass
 Neil Pepe
Gene Barry
 Lisa Bonet
Lena Nyman
 Kim Novak
 Dato Bakhtadze
Tom Atkins
 Richard Arlen
 Ann Eleonora JÌürgensen
 Eleanor Bron
 Quinn K. Redeker
Kazunari Ninomiya
 Spencer Garrett
 Tim McGraw
Kirsten Dunst
Tony Goldwyn
 Mukesh Rishi
 Leroy Bach
 Sarah Churchill
Josh Duhamel
 David Schwimmer
 Marisa Coughlan
 Captain Batista
Kaila Amariah
 David Hedison
 Cedric Hardwicke
Christopher Reeve
Paul Guilfoyle
 Mario Scarpetta
 Eugene Deatrick
 Maria Pia Casilio
 Michael Yarmush
 George Segal
 Jane Powell
 Meret Becker
Sam Spruell
 Joe Pesci
 Hylda Baker
Sarah Michelle Gellar
Rain
 Travis Ramos
 Nell Cattrysse
 Michael Cera
 Rob Mayes
Don Alder
 Kai Doi
 James Ray
 Gerard Damiano
 Craig Reay
Brigitte Lin
 Betty Field
 TchÌ©ky Karyo
 Judy Greer
 TorbjÌ_rn FahlstrÌ_m
Agata Kulesza
 Eva Dahlbeck
 Betty Schuurman
 Rosana Pastor
 Alex van Warmerdam
 Sh’‚ Aikawa
 Ed Kross
 Tamlyn Tomita
 Michael Moore
 Bill Sammeth
 Christopher Lawford
 Sh’‚z’‚ ’_zuka
 Saunders Triplets
 Heidi Rhodes
 T.P. McKenna
 Cameron Bright
Tobias Schneebaum
Jeanne Moreau
 Shreyas Talpade
 Emily Deschanel
 M’_a Maestro
 Nikita Mikhalkov
 Kate McNeil
 Sylvia Miles
 Gladys George
 Julie Carmen
Geoffrey Arend
 Robert Phillips
 Keiko Tsushima
Richard Burton
 Franklin Dyall
David Naughton
 Sadi Celil Cengiz
 Giovanni Lombardo Radice
 Hans Kesting
Tony Brooks
Tom Berenger
 Mai Hosho
 Elina LÕ_wensohn
Jason Flemyng
D.R. Anderson
 Desmond Harrington
 Nathalie Besan’_on
 Bradley Pierce
 Vivian Pickles
 Ben Keith
 Jay Brazeau
 Marianne Jean-Baptiste
 Vladimir Vega
 Leslie Mann
 Michael Wright
Eddie Albert
 Eli Wallach
Peter Cook
 St’©phane Fey
 Max Thieriot
 Daren Kagasoff
 Mark Mothersbaugh
Steven Strait
 Georges Marchal
 Adam Driver
 Michel Ray
 Asia Vieira
 Anna Rust
 Harold Ramis
 Ray Romano
Emily Barclay
 Ariel Besse
Roger Allam
Y’_ta Sone
 Martin Lawrence
 Douglas Fairbanks Jr.
 Carl Weathers
 Priyanka Bose
 Winston Graham
 John Louie
 Luke Kirby
Jean Harlow
 Andrew Jarecki
Jonathan Cherry
 Jan-Gregor Kremp
 Sam Claflin
Tom Hardy
 Larry Drake
 Tanya Sharma
 Dick Clark
 William Mapother
 Dave Sheridan
 Julian Arahanga
Sean Biggerstaff
 Enrique Murciano
 Katie Barberi
 Martin Stringer
Matt Adler
Michelle Trachtenberg
 Mili Avital
Suzuka Ohgo
 Brian O'Shaughnessy
Ali Atay
 Keir Dullea
 Paul Perey
 Matt Winston
 David Barr
Sabu
 Michael Zelniker
 Hristos Passalis
 Vira Montes
 Charles Rocket
John Gielgud
Steve Zahn
 Kurt Russell
 Delores Taylor
Roger Carel
 Eve Arden
 Debra Mooney
 Catherine Wilkening
 Badi Uzzaman
 Kat Dennings
 Jules Sitruk
 Helen Hunt
 Kristina Kennedy
Philippe CaubÌ¬re
 Mike Connors
 Joaquin Phoenix
 Rodrigo S’çnchez Borhorquez
 Mike D
 Emiliano Guerra
Dan Futterman
Alan Howard
 Vic Noto
Joey Lawrence
 Sloan Cobb
 Fumi Nikaid’‚
 Joon-hyeok Lee
 Erica Leerhsen
 Glenda Jackson
Phil Vischer
 Katharine Ross
John Mahoney
Michael Hutchence
Carolyn Farina
 Tina Aumont
 Jasper Newell
 Phillip Froehlich
 Al Pacino
 Rudolf Lucieer
Georges Bidault
Tran Nu YÌ»n-KhÌ»
 Lhakpa Tsering
 Michelle Nolden
 David Brisbin
Herbert Lom
Jason Lively
Melissa Leo
 Llum Barrera
John Phillip Law
 Betsy Baker
Michael Apted
 Luther Adler
Penelope Ann Miller
 Joseph Cross
William Forsythe
 Fiona Shaw
 Savannah Smith Boucher
 Don Johnson
Arnold Stang
 Chete Lera
 Mary Vivian Pearce
 Doug Bradley
 Anne-Marie Martin
 Cameron Richardson
 Nadja Auermann
Keith Coogan
 Randy Stuart
 Annabel Linder
 Peter Kay
 Clemens Scheitz
 Adam C. Edwards
 Jeremy Foley
 Emma Thompson
 Ewan McGregor
 Karen Dotrice
Anjelica Huston
 Ella Connolly
John Cena
 Dick Emery
 Eivind Sander
 Susan McConnell
 Irene Mayer Selznick
 Jos’© Lewgoy
 Lily Tomlin
 Shannon Whirry
 Amy Locane
 Frank Adu
 Will Oldham
Neil Dudgeon
 Kajol
 Rupert Evans
 Justin Deeley
 Yayan Ruhian
 Karina Skands
 William Rodriguez
Robby Benson
Nicolas Cage
 Jim Swanson
 Kyla Kenedy
Chris Tucker
Richard Todd
 Talia Zucker
 Thora Hird
 Heydon Prowse
 Peter Hooten
 Lolita Davidovich
 Mandy Moore
 Ricky Nelson
Steffi K’_hnert
 Joan Weldon
 David Stratton
 Sanjeev Kumar
 Yui Ichikawa
Bryce Dallas Howard
Rab Affleck
Blake Anderson
Nermina Lukac
 Billy Chow
 Ron Livingston
 Lyle Kanouse
 Basil Ruysdael
 Susanne Benton
 Dolores Moran
Lisa Kudrow
 Sam Lerner
Joe Morton
 Simon Russell Beale
Branko Djuric
 Lynn-Holly Johnson
Erica Yohn
 Klaus L’_witsch
Jordan Ladd
Brigitte Bardot
 Paul Baker
 Leslie Orr
 Nikki Amuka-Bird
 Stephen Spinella
Isabelle Corey
 Eric Judor
 Pamela Tiffin
 Gonzalo Uriarte
 Brady Corbet
 Geoff Pierson
Kevin Peter Hall
Frederic Forrest
Dharmendra
 Tatsuya Nakadai
 Armie Hammer
 Caroline Rothwell
 Priscilla Presley
Martin Lawrence
Hideaki It’‚
 Wendy Raquel Robinson
 Alan Dinehart
Chris Pratt
 Jeanne Tripplehorn
 Chuck Bush
Hayao Miyazaki
 Benny 'Papa Zita' Benjamin
 Gustav Diessl
 Charlotte Le Bon
 Dia Mirza
 Rob Schneider
 Sudie Bond
 Ben Foster
 Yusuke Sekiguchi
 Whitman Mayo
 Dorothy Dandridge
 James Doohan
 Brit Marling
 Sean Kennedy
 John Vernon
 Jerry Levine
Boris Karloff
Masaharu Fukuyama
 Elizabeth Hartman
 Christine Taylor
 Robert Ginty
 John Pyper-Ferguson
 Michael Ansara
 Ice Cube
 Jerzy Skolimowski
 Brad Beyer
Ian Holm
 Charles McDevitt
 Momoko KÕâchi
 Florence Roberts
 Sessue Hayakawa
 Mac Davis
Bruno Lawrence
 Jimmy Bennett
 Alexander Gould
 Solveig Dommartin
 Malcolm Keen
Michael Cera
Donald Faison
 Robert Van Loon
 Tom Mison
 Daniel Caltagirone
 Signe Hasso
Daphne
Claire Sloma
 Max Casella
 Richard Belzer
 Leslie Ackerman
 Cole Hauser
 Anthony Edwards
 Ty Parker
 Kevin P. McCarthy
 Swapan Mukherjee
 Tim Hodge
 Cherise Boothe
 Lou Frizzell
 Rosanna Fratello
 Dyana Ortelli
 Gaspard Ulliel
 Freddie Highmore
 Jack Warden
 Michael Graham Cox
 Chris Spencer
Janet McTeer
 Stuart Goodwin
 Wendell Wellman
Radha Mitchell
 Dick Haymes
Takeshi Kitano
 Bob Hoskins
Tom Cullen
 Scott Burkholder
 John Wesley Shipp
 Mario Pisu
Marina Vlady
 Paul Ben-Victor
Roger Barclay
Martha Byrne
 Richard Moll
 Tar’‚ Yamamoto
 Lari White
 Jackie Sandler
 Eugene Robert Glazer
 Simon Pegg
 Paul Stewart
 Brandon Gerald Fuller
Barbara Steele
Richard Egan
 Phil Kingston
 Ken Kirzinger
 Jerry Reed
 Christie Clark
Lili Taylor
Simone Simon
Tom Courtenay
 Peter Sellers
 Jim Wilkey
 Daniel Boulanger
 William Smith
Mayumi Tanaka
 Isaac Hayes
 Othon Bastos
Jaden Smith
 Zizi Jeanmaire
 Kathleen Lockhart
 Jason Statham
Sergio Kleiner
 Heather Matarazzo
Charles King
Ernie Allo
 Steve Marachuk
 Mireille Darc
 Sylvia Marriott
 Paulo Costanzo
 Lorna Luft
JÕ_rgen Prochnow
 Renying Zhou
Ralph Molina
Jacqueline Obradors
George Dzundza
Aya Hirano
Sam Shepard
 Russell Baer
 Dan Gunther
 Ally Sheedy
Amir Bar-Lev
Dan Leis
 Randy Austin
Chi Muoi Lo
 Beth Grant
 Nanami Sakuraba
 Akihiko Hirata
 Samuel Berkowitz
 Tom Keene
 Vladislav Dvorzhetskiy
 Robert Capron
Alison Garland
 Martin Walsh
 Denis Lavant
 Eugenio Derbez
 Heather Beckel
 Fei Lung
 Mathieu Kassovitz
 Wesley Eure
 Anouk Aim’©e
Marianne SÌ_gebrecht
 Rebekah Johnson
 IrÕŒne Jacob
 Jerry Carrigan
 Iain Robertson
 Cicely Tyson
Samir Guesmi
 Jan Miner
 Andy Comeau
 Claude Akins
 Ali MacGraw
 Paul Schneider
 Osamu Saka
 Robert Foxworth
 Bruce McCulloch
 Cathy Tsui
 Jennica Fulton
 Jae Mamuyac
 Clare Grogan
David McCullough
 Elaine Jin
 Jada Pinkett Smith
 Alan Davies
 Richard Haydn
 James Fraser
Merle Oberon
 Judith Allen
Liev Schreiber
 Carlo Verdone
 Larry McHale
 George 'Buck' Flower
 Simone Renant
 Kelci Stephenson
 Pam Ferris
Terry Potter
 Kenneth Tobey
 James Gregory
 Anthony James
Michael Ruppert
Magda Szubanski
Lauren Hutton
Fab Filippo
 Deborah Kara Unger
 Kiele Sanchez
 Summer Phoenix
 Carol Robbins
 Richard Jaeckel
 Joan Cusack
 Vincent Berry
 Erland Josephson
 Ronnie Connell
 Martin Short
 Tamao Sat’‚
John Boylan
 Jesse Camacho
Billie Whitelaw
 Ava DuVernay
 Susan Saiger
Patsy Garrett
 Giovanni Florido
 Bruce Cabot
 Pui-San Auyeung
 Steven Martini
 Peter Franz’©n
 Adrien Beard
 Judy Davis
 August Schellenberg
 Beno’Ât Ferreux
Lance Bass
Anthony Mackie
 Shantel VanSanten
 Rosie Huntington-Whiteley
 Perry Botkin Jr.
 Kankur’‚ Kud’‚
 Herbert Berghof
Tom Conway
 Daisy Donovan
Mary Burton
 Sandra Prinsloo
 Gia Mantegna
 Mercedes Mor’çn
Jason Schwartzman
 Walter Catlett
 Shirley Stoler
 Ben Schwartz
 Charlie Kerr
Predrag Bjelac
 Jesse Welles
Jerry Seinfeld
 Djimon Hounsou
Sophie Vavasseur
Ken Shapiro
 Dennis Christopher
 ÌÅngela Molina
 Nelofer Pazira
Jean N’©groni
 Anne Giotta
 Peter Lawford
 Iris Churn
 Howard McGillin
 Margaret Leighton
Matthew Pidgeon
 Malcolm St. Clair
 Vanessa Kirby
 Alessandro Nivola
 Lorraine Stanley
 Merila Zare'i
 Mark McKinney
 Keiju Kobayashi
 James Coburn
 Christiane Paul
 Timothy Spall
Thomas Dekker
Sterling Hayden
 Darnell Williams
 David Lawrence
 Daniel Ivernel
 Billy House
 Jonas Abry
 Sabine Az’©ma
 Larry Bagby
 K’‚en Kond’‚
 Paul Scofield
 A.J. Buckley
India Eisley
 Shannon Woodward
 Pierre Renoir
 Deborah Raffin
 Jessica Capshaw
 Bob Griffin
 Patrik Minar
 Dougie McConnell
 Carole Bouquet
 Nancy Cartwright
 Francis Benhamou
 Richard Kiley
 Robert Sheehan
Bill Nighy
RubÌ©n Blades
 Kathy Larson
 Alexandra Holden
 Louw Verwey
Peter Riegert
Tom Dewispelaere
 Jill Ireland
 Elodie Tougne
 Ping Lam Siu
MichÕŒle Laroque
 Leland Palmer
 Anthony Newley
 Bryan Forbes
 Jonathan Rhys Meyers
 Paul Hogan
 Jo Hartley
 Rub’©n Blades
 Roger Moore
 Jacques Gamblin
 Claude Lul’©
 Talulah Riley
 Wyatt Knight
Stephen Spinella
George Gaynes
 Mamie Gummer
 Jasmine Woods
 Kate Walsh
James Marshall
 Clebert Ford
 Angelo Josue Lozano Corzo
 Mark Harmon
 Dick Cheney
 Hanna Schygulla
 Julianna Margulies
 Rick Springfield
 Maarten Stevenson
 Wanda De Jesus
 Jorge JuliÌ£o
 Simon Yam
 Amy Monique Waddell
 Vincent Cassel
Frank Campanella
 Ling-Ling Hsieh
 Olivier Perrier
 Suzanne Fields
 Raf Vallone
Jean-Claude Dreyfus
 Mary Gregory
 Gordon Pinsent
 Jag Sanghera
 Nicholas Braun
Sarah Jaffe
O'Shea Jackson Jr.
Albert Dieudonn’©
 Hideo Sugawara
 Akbar Kurtha
 Janus Blythe
 Mia Farrow
Ayako Fujitani
 Batan Silva
 Gio Perez
 Maureen Bailey
 Brooks Benedict
 Deems Taylor
JosÕ© MarÕ_a de Tavira
 Akio Kobori
 Don Ameche
Gregory Smith
 Agata Trzebuchowska
 Kenan Thompson
Kris Alexander
 Steve Antin
 Keiko Awaji
 David Soul
 Rebecka Liljeberg
Louis C.K.
 Peter Bonerz
 Christian Bale
 Jon Favreau
Catriona MacColl
 Eugenia Yuan
 Shelby Chong
 Bijou Phillips
 Martin Gabel
 Vincent Pastore
 Elina Salo
 Frank Oz
 Martin Basch
Gaowa Siqin
Tobias Arnold
 Terry Camilleri
 Robert Carlyle
 JÌ©rÌ©mie Renier
 David Margulies
 James Brown
 Jorge PerugorrÕ_a
Laia Costa
 Katharina Thalbach
 Raymond Briggs
 Ian Robison
 Kristopher Logan
 Neve Campbell
 Pablo Schreiber
 Tedesse Haile
 Marisol Nichols
Sebastian Rice-Edwards
 Saskia Mulder
 Butch Helemano
George Peppard
Thure Lindhardt
 Nicholas Clay
 Matt George
Amy Winehouse
 Lea Massari
 Julia Barnett
 Ken Curtis
 Opal Alladin
 Mason Gamble
 Philip Stone
 Ian Michael Giatti
 Raul Cortez
 James Donald
 Janny Brandes-Brilslijper
Francesca Annis
 Noah Segan
 Ambrosia Kelley
 Sheb Wooley
 Lenny Venito
 Mary Testa
 Ann Prentiss
 Odessa Rae
 Lisa Banes
 Hope Lange
 Laurie Simmons
 Ja Rule
 Roland Monod
 Chris Riggi
Alison Lohman
 Ben Niu
Adolf Hitler
 Sylvie Richez
 Joshua Malina
 Toya Batey
 Edith Boulogne
 Anna Bonaiuto
Alexa PenaVega
 Mercedes McCambridge
 Peter Lee Lawrence
 Arnold Lucy
 Sergio Castellitto
 Misa Uehara
Angela O'Neill
 Marion Keller
Anamaria Marinca
GrÕ©goire Colin
 Sihung Lung
 Elisabeth Moss
 Dale Davis
 Cristina Scaramuzza
 Putu Dinda Pratika
 Andrew Divoff
Bill Cosby
 Yolanda Orisaga
 Linda Darnell
 Carrie Akre
George Hamilton
 Ry’‚ko Hirosue
 Ryan Ward
 Guillermo Estrella
 Alexander Zale
 John Heard
 Glenn Ford
Michael Bowen
 Jean Ainslie
 Iggy Pop
Liam Neeson
 Gustaf Skarsg’Çrd
 Adam Rodriguez
 Vladimir Popov
 Chris Carmack
 Ed Lauter
 Lisa Griffiths
 Gu’çr’_n G’_slad’_ttir
 Jean-Luke Figueroa
 Natasha Richardson
Patton Oswalt
Victoria Abril
Kurt Russell
 Irma P. Hall
 Irene Bedard
Clara Bow
 Gina McKee
 Bernadette Peters
 Mark Cirillo
 Chris Zylka
 Theresa Randle
Joe Bishop
 Sacha Baron Cohen
 Eddie Firestone
Dennis O'Keefe
 Camille Anderson
 Jeremie Campbell
 Mandy Matthews
 Gary Lahti
 Bruce Greenwood
 Max Elliott Slade
Judd Nelson
Danny Mulheron
 Peter Weller
Brittany Snow
 Azucena Medina
 Matt Hollywood
 Luca Bizzarri
 Lawrence Wilson
 Tara Ellis
 Shayesteh Irani
 Danai Gurira
 Grady Hutt
 Steven Seagal
 Alexandra Apjarova
 Lena Olin
 Diana Wynyard
 Edson Mazieiro
 Melvin Van Peebles
 Leni Tanzer
 Mongezi Manqina
Brendon Ryan Barrett
 Jacques Tati
Hugh Laurie
 Nigel Whitmey
 Guy Doleman
 Jason Baldwin
 Clarence Williams III
 Tenoch Huerta
 Charles Coburn
 JosÌ© Gallardo
 Bryan Brown
Mary Beth Hurt
 StÕ©phane Audran
 Larry B. Scott
 Chris New
 Robbi Morgan
 Timothy Olyphant
 Kazue Fukiishi
 Jordi Moll’_
Lloyd Bridges
Hugh Dillon
Alastair Sim
 Dale Midkiff
 Martha Gehman
 Dick Powell
 Otto Gr’_nmandl
 Kate Capshaw
 Tony Guma
 Vincent Van Patten
 Nobuko Miyamoto
 Jason Beghe
 Hallie Todd
 Henry Gibson
 Julia Nickson
 Robert Walker
 Shanti Das
 Miriam Morgenstern
 Gene Bervoets
 Kathryn Erbe
 Patrick McDonald
 Joel Gretsch
 Linden Ashby
 Jennifer Jones
 Eilidh Rankin
Olivia Bonamy
 James Stephenson
 Elaine Cassidy
 Tia Carrere
 Una Merkel
 C’©cile De France
 Margaret O'Brien
Leelee Sobieski
Jennifer Lopez
Silvia Altare
 Shalom Harlow
 Mark Alpiger
Robert Beltran
 Olivia Cooke
Kevin Smith
 Susan Barnes
 Tori Spelling
 Alfre Woodard
 Vince Vieluf
 Barbara Williams
 Ji-hyun Jun
 Jean Carson
Diego Luna
Varhan Orchestrovich Bauer
 Onslow Stevens
 David Bowie
 Eric Stoltz
 Steve Bisley
 Raymond Burr
 Karen Duffy
 Charles Crumb
 Kylie Travis
 Sam J. Jones
Felecia Angelle
 Reiko Dan
Hayden Panettiere
Marcello Mastroianni
Brendan Gleeson
 Leigh Hunt
Anton Glanzelius
 Betty Lou Gerson
 Valeria Bertuccelli
 Michael Winslow
 Larry D. Mann
 Valentina de Angelis
 Jimmy Fallon
 Jason Flemyng
 Kirk Hammett
 Vernel Bagneris
 Tracy Morgan
 Joseph Bottoms
 Salvador Allende
 Aleisha Allen
 Selena Gomez
 Will Forte
 Sophie Ward
 Maurizio Benazzo
 Walt Geisler
 Rosemary Ames
 Will Smith
 Jessica Mackenzie
 Cyd Charisse
Michael Fassbender
 Michael Taliferro
 Cheryl Ladd
 Line Renaud
 Ed Helms
 Jasper Polish
 Peter Barton
 Paul Sedaris
Elizabeth Edmonds
 Willy Semmelrogge
Philip Loch
 Felix Wong
Sissy Spacek
Ethel Merman
 Ken Davitian
 Nancy Wolfe
 Frantisek Debelka
Keanu Reeves
 John Castle
Orgyen Tobgyal
 Adrian Brine
Patrick Bergin
 Sean Penn
 Jerry Daugirda
 Mike Malone
James Aubrey
Christy Turlington
Tony Ward
 Moira Brooker
 Jimmy Baio
Paul Anderson
Don McKellar
 Russ Grieve
James Corden
 Alex Weir
Lauren Bittner
Robert Preston
William Ash
 Conrad Kemp
 Greg Kinnear
 Jacques Sernas
 Lester Rawlins
Michael Higgins
 Edwina Pattison Daniels
 William Collier Jr.
 Bruno Kirby
 Mark Simpson
 June Lang
 Csaba Pindroch
 Hal Crowther
 Walter Brennan
 John Rhys-Davies
 Josephine Siao
 Wayne Brady
 Larenz Tate
 Eileen Herlie
David Caruso
 Giorgio Albertazzi
Alan Ladd
 Steven Culp
 Joe Mantegna
 Chad Allen
 Jeffrey Jones
 Folco Lulli
Dane Cook
 Lea Coco
Masahiro Motoki
 Peter Locke
 Gisela Uhlen
Michael Ironside
 Irina Voronina
 Avijit Halder
 Shannyn Sossamon
Tim Meadows
Michael J. Fox
 Jack Thompson
 Carl Bernstein
 Thomas Gibson
 Julie Adams
Peter Falk
 Mary Walsh
 Earl Rowe
 Liam Neeson
 Fele Mart’_nez
 Charlene Sashuk
 Alma Beltran
 Dane Cook
Keely Christian
 Wendy Morgan
 Mildred Clinton
 Diahnne Abbott
 Nigel Lindsay
 Sam Elliott
 Brian Unger
 David Wenham
 Peter F’_lt
 Hoi Mang
 Pablo Rago
Anna Karina
Sam Riley
 Ahmad Riaz
 Jessica Lange
 Nieve de Medina
 Claudio Bisio
 Matthew Brent
 Roberto MartÌ_n MÌÁrquez
 Yoshikazu Fujiki
 Logan Lerman
 Richard Madden
 George Brent
 Barbara Crampton
 Norman Baert
 Lizzy Caplan
 Anders Baasmo Christiansen
 Emma Bolger
River Phoenix
 Molly Hagan
 Sylvia Eckhausen
Annabel Chong
Rowan Atkinson
 Linda Hunt
 Edward Asner
 Juan Gabriel Yacuzzi
 Peter Krantz
 Karin Springer
 Dominik Michon-Dagenais
 Sergej Trifunovic
RenÌ©e Zellweger
 R.G. Armstrong
 Morten Holst
 Isa Crino
 Dean Lennox Kelly
 Jim True-Frost
 Camille Coduri
Shari Albert
 Maria Michi
Seth Green
 Luke Weil
 Dickie Gravois
Nien-Jen Wu
 Jun Kunimura
 Jeremy Owen
J’‚ Shishido
 Joshua Rudoy
 Geoff Bell
 Shedrack Anderson III
 Evelyn Venable
 Craig Berry
 Jeremy Sylvers
 Jake Busey
 Jeremy Lucas
Mads Mikkelsen
 Mitchell Boshnack
 Marlon Wayans
 Jon Prescott
 Pat Buchanan
Charlie Hunnam
 J.J. Clark
 Oscar Levant
 Matthew Carroll
 Kevin Richardson
 Kimberly Ross
 Michael J. Fox
 Donald Crisp
Conor Donovan
Charles Herbert
 Istv’çn G’_z
 Stephen J. Lang
 PJ Harvey
 Hanna MarÌ_a KarlsdÌ_ttir
Michael Gross
 Ellen Latzen
Robin Williams
 Milo O'Shea
 Louann Brizendine
 Joan Leslie
Cherami Leigh
 Tyne Daly
Allen Payne
 George MacKay
 Dakota Goyo
 Paul Anka
 ToshirÕâ Mifune
 Marcus Carl Franklin
 Jana Taylor
 Efren Ramirez
 Siu Chung Mok
 Lee Thompson Young
 Tisha Campbell-Martin
Haile Gebrsellasie
 Niels Arestrup
 Christine Amor
 Alban Ukaj
 Marlon Brando
 Edna Dor’©
 Zafer Alg’_z
 Tommy Dysart
 Obba BabatundÌ©
 Scout Taylor-Compton
 Andreas Schr’_ders
 B’©r’©nice Bejo
Matthew Faber
 Ashlyn Sanchez
Byung-hun Lee
 Christian Roberts
 Carrie Dobro
 Jodelle Ferland
 Emma Samuelsson
Michael E. Knight
 Joyce Redman
 Sterling Holloway
 Boyd Gaines
 Peter Sarsgaard
 Christina Cox
 Javier Bardem
 Jean Lenauer
 F.J. McCormick
 Lauri Pedaja
Albert Finney
 John Stirratt
 Greg Eagles
 Timothy Busfield
 Jacqueline Kim
Lisa Boyle
 L. Hammond
 De'aundre Bonds
 Marjorie Wood
 William Powell
Guillermo DÕ_az
 Bridget Fonda
 Katrin Cartlidge
 Peter Firth
 Eric Mabius
 JÕ_rgen Prochnow
 Ludacris
 Christina Storm
 Jean-Michel FÕ_te
 Ken Holmes
William Finley
 Jimmy Yuill
 Ronald Cheng
 Brigitte Mira
 Johanna Wokalek
 Fred Howard
 Ji-Woo Choi
 Jamey Sheridan
 Paul Popplewell
 Alex Shaffer
 Carmine Appice
 Aleksandr Shvorin
 Eiko Miyoshi
Luigi Lo Cascio
 Marco Hofschneider
 Ron Guerette
 Greg Sevigny
Mary Elizabeth Mastrantonio
 Michael Naegel
 Joe Thomas
 Anian Zollner
Peter Lawford
 RÌ©my Girard
 Megan Park
Karen Lancaume
Assumpta Serna
 Jonathan Lambert
 Shea Fowler
 Elie Chaib
 Mila Par’©ly
 Mark Flanagan
 John Terry
 Vithaya Pansringarm
 Zubaida Sahar
 Bengt C.W. Carlsson
Myrna Loy
 Garret Dillahunt
Justin Long
Charles Barkley
 Sandra Dee
 Jameson Clark
 Mika Boorem
 Tom Schimmels
 Shailene Woodley
Nutsa Kukhianidze
 Liza Minnelli
 Ron Dennis
 Zena Grey
 Michael Anderson Jr.
 Loes Wouterson
 Jean-Luc Vincent
Maria Mathiesen
 Scott Wilson
Diahnne Abbott
Ayesha Dharker
 Kristy Swanson
Doug Stone
 Seann William Scott
Stephen Rea
 Javier C’çmara
 Colleen Haskell
 Paula Braun
 Terri Hoyos
 Andy Jones
 Nina van Pallandt
 James Russell
 Arash Marandi
 Andrew Shim
 Lala Sloatman
 Gil Gross
Nathan Fillion
 Charles Drake
 Aymen Hamdouchi
 Marianne Denicourt
Michael Craig
 Melinda Dillon
 Thorsten Merten
Lars Eidinger
 Jenna Dewan Tatum
 James Duval
Robert Morse
 George Clooney
 Paola Guidi
Stephen Badger
James Fox
 Yuliya Aug
 Hyuk-ho Kwon
 Sean Pertwee
 Simon MacCorkindale
 Juliette Mayniel
 Josh Evans
 Juan Diego
 Johnathon Schaech
 June Thorburn
 Franco Volpi
 Martha Wainwright
 Richard Gant
 David Gale
 Collin Bernsen
 Karl Malden
 Liz Stauber
 Alastair MacIntosh
 Jay Baruchel
 Cori Gonzalez-Macuer
 Khalifa Natour
 Michael O'Keefe
 Kent Jude Bernard
 Vicky Krieps
 John Kerr
Bob Hoskins
 Tina Holmes
 Daniel Percival
 Logan Marshall-Green
Robert Shaw
Benny Anders
 Ethan Suplee
 Ramsey Krull
 Niall MacGinnis
 George Allen
 Jon Stewart
Barry Pepper
 Ron Glass
 Marlon Morton
GeneviÕŒve Bujold
 Bill Tung
Todd Bridges
John Howard Davies
 Angel David
 Naomi Watts
Dan Fogler
 Clare Bullus
 Nirmal Pandey
Shane Jacobson
 Oliver Robins
 Steven Berkoff
 Anne De Salvo
 Gustavo Mu’±oz
 Paul McGann
 Edward Furlong
 Julia West
Miguel Ferrer
 Mark Wahlberg
 Helen Shaver
 Ethan Embry
 Mickey Rourke
 Nelson Vasquez
Pep’_n Nieto
 Ray Cooper
 Philippe Torreton
Douglas Fairbanks
 Hiddayatullah
 Marion Busia
 Tim Mirkovich
 John Glover
 Takaaki Ishibashi
Antonio Gades
 Jeffrey Wright
Myles Berkowitz
Matt Smith
Leo Fitzpatrick
 Bradley Cooper
 Ana Coto
Dale Midkiff
 Gordon MacDonald
 John Beard
 M.Y. Basrun
 Stacey Scowley
 Audra Lindley
 Mike Lane
Adam West
 Sharon Farrell
Paul Wegener
 Lenore Banks
 Anthony Nichols
 Ileana D'Cruz
 Shane Bailey
Robert Crumb
Seamus O'Brien
 Isamar Gonzales
 Jose Coronado
 Suzy Amis
 Steve Carell
 Tom Wood
 Susan Saint James
 Fumiyo Kohinata
 Donald O'Connor
 Olin Howland
 Jean Rochefort
 Romi Aboulafia
 Dana Moore
 Steve Railsback
 Emma Bell
 John Foster Dulles
 Tone Loc
 Pascal Bongard
Vivien Leigh
 Francis Lederer
 Amy Adams
Meera Syal
 Romany Malco
 Barbara Kroner
Bernie Worrell
 Bourvil
 JosÌ© Oliveira
 Saul Stein
 Kristen Wiig
 Anthony Zerbe
 Jennine Babo
 Akiko Wakabayashi
 Ryan Guzman
 Annie Corley
 Joan Allen
 Michael DeLorenzo
 John Huston
 Blake Cooper
Jodelle Ferland
 Elizabeth Ruscio
 Albert RÕ©my
Michael Paul Stephenson
 Robert Vogel
Molly Parker
 Courtney B. Vance
Tanya Crumel
 Reina King
 Moultrie Kelsall
Emily Perkins
 Helen Boston
Barry Barnes
 Thaddeus Golas
Terrence Mann
 Keshia Knight Pulliam
 Everett McGill
 Jerry Jarrett
 TÕ©a Leoni
 Erin Dilly
Prince
 Andrew Brackfield
David Hemblen
 Eric Gurry
 Fabian Hinrichs
Victor Rasuk
 Kaya Scodelario
 Patrick Bauchau
Alejandro Polanco
 H’©ctor Jim’©nez
 Samuel Johnson
